"check","status","detail"
"package_here","PASS","available"
"package_jsonlite","PASS","available"
"package_digest","PASS","available"
"package_dplyr","PASS","available"
"package_tidyr","PASS","available"
"package_stringr","PASS","available"
"package_purrr","PASS","available"
"package_tibble","PASS","available"
"package_readxl","PASS","available"
"package_ggplot2","PASS","available"
"package_scales","PASS","available"
"renv_scoped_waiver","WARN","project misses lmtest and sandwich; the annual-report chain imports neither"
"corpus_manifest_exists","PASS","data/digikat_corpus_manifest.json"
"corpus_present","PASS","data/digikat_corpus.rds"
"corpus_hash_matches_manifest","PASS","413 985 rows; 15473a615bf3"
"corpus_rule","PASS","119 terms, threshold 0.70, window fix on"
"processed_built_from_corpus","PASS","data/processed/ carries the corpus sha256"
"processed_platform_summary","PASS","49 rows; hash matches"
"processed_proportions_summary","PASS","49 rows; hash matches"
"processed_platform_monthly","PASS","435 rows; hash matches"
"processed_source_summary","PASS","17976 rows; hash matches"
"processed_top_sources_by_year","PASS","90 rows; hash matches"
"processed_top_web_sources","PASS","20 rows; hash matches"
"processed_top_youtube_sources","PASS","20 rows; hash matches"
"processed_top_facebook_sources","PASS","20 rows; hash matches"
"processed_web_actors","PASS","16 rows; hash matches"
"processed_youtube_actors","PASS","20 rows; hash matches"
"processed_facebook_actors","PASS","19 rows; hash matches"
"processed_instagram_actors","PASS","20 rows; hash matches"
"processed_tiktok_actors","PASS","16 rows; hash matches"
"processed_twitter_actors","PASS","23 rows; hash matches"
"platform_schema","PASS","year, SOURCE_TYPE, total_posts, total_interactions, total_reach"
"monthly_schema","PASS","month, SOURCE_TYPE, total_posts, total_interactions, total_reach"
"source_schema","PASS","year, FROM, productivity, total_interactions, avg_engagement_rate, total_reach"
"platform_reconciliation","PASS","413 985 of 413 985 rows"
"report_year_present","PASS","platform=9 monthly=65 rows"
"report_year_months","WARN","8 of 12 months carry data; stage 01 measures the interruption"
"report_year_closed","PASS","corpus runs to 2026-06-11 - the reporting year is complete"
"latest_year_partial","WARN","2026 ends on 2026-06-11 and is not an annual result"
"collection_seam","WARN","one inclusion rule, two collection eras; kept share steps at the 2024 break, so only within-stream comparison is instrument-comparable"
"stream_dimension_available","PASS","post-2024 stream spans 2024-07-01 -> 2026-06-11"
"nlp_manifest_exists","PASS","data/nlp/manifest.json"
"nlp_generation_source","PASS","tokens were drawn from the corpus"
"nlp_inputs_present","PASS","4 of 4 sample/token files"
"nlp_sampling_design","WARN","year x platform stratified: themes 5%, tone 2%; excludes tiktok; minimum 101 characters"
"lexicons_present","PASS","4 of 4 lexicon files"
"label_schema","PASS","109 sidecar rows"
"label_status","WARN","sidecar status: proposed - composition figures stay indicative"
