from_value,display_name,segment,editorial,croatia_link,evidence_note,evidence_url
hkm.hr,Hrvatska katolička mreža,confessional,TRUE,TRUE,HKM newsroom; IKA and HKR grouped as products of HKM subject to PI G1.,https://hkm.hr/impressum/;https://ika.hkm.hr/o-nama/
laudato.hr,Laudato,confessional,TRUE,TRUE,Confessional editorial product identified in both source-label and news-gap seeds; D2 includes the segment.,
bitno.net,Bitno.net,confessional,TRUE,TRUE,Seed editorial publisher; BRIEF 4.3 says new-batch-only coverage prevents panel_v1 continuity.,
glas-koncila.hr,Glas Koncila,confessional,TRUE,TRUE,Seed editorial publisher; BRIEF 4.3 says new-batch-only coverage prevents panel_v1 continuity.,
novizivot.net,Novi Život,confessional,TRUE,NA,needs_review: self-description is Christian portal (not sufficient evidence of the Catholic label in the seed); Croatia publisher link needs confirmation.,https://www.novizivot.net/impressum/
5portal.hr,5portal,regional,TRUE,TRUE,Publisher describes local Labin area news and identifies editorial office and Croatian publisher.,https://5portal.hr/korisno/88/o-portalu
drava.info,Drava.info,regional,TRUE,TRUE,Newsroom and Croatian association publisher; Koprivnica and Podravina service confirmed by publisher.,https://drava.info/impresum/;https://drava.info/2025/08/poseban-dan-za-nasu-redakciju-danas-je-10-velikih-godina-portala-drava-info/
danica.hr,Danica,regional,TRUE,TRUE,Publisher homepage identifies editorial selection and reporting on Podravina; regional is a proposed segment.,https://danica.hr/
fiuman.hr,Fiuman,regional,TRUE,TRUE,Publisher describes regional Rijeka newsroom and its reporting remit.,https://www.fiuman.hr/o-nama/
krizevci.info,Križevci.info,regional,TRUE,TRUE,Publisher describes independent local news project and identifies Križevci association and editorial team.,https://www.krizevci.info/impressum/
kronikevg.com,Kronike Velike Gorice,regional,TRUE,TRUE,Publisher describes Velika Gorica and Turopolje news; Croatian editorial office.,https://www.kronikevg.com/impressum/
lika-express.hr,Lika Express,regional,TRUE,TRUE,Electronic publication and editorial office identified in Gospić.,https://www.lika-express.hr/impressum
parentium.com,Parentium,regional,TRUE,TRUE,Publisher describes daily local Poreč and Istria news with identified editorial team.,https://www.parentium.com/impressum
novosti.hr,Novosti Vinkovci,regional,TRUE,TRUE,Publisher identifies Novosti news and radio company in Vinkovci; distinct from portalnovosti.com.,https://novosti.hr/contact/
zupcica.hr,Župčica,regional,TRUE,TRUE,Homepage is local Župa dubrovačka news with editorial selection; not a parish site despite its name.,https://www.zupcica.hr/
portalnovosti.com,Portal Novosti,national,TRUE,TRUE,Identified Zagreb editorial publication; separate newsroom from institutional publisher SNV; proposed national segment requires PI review.,https://www.portalnovosti.com/impressum/
advance.hr,Advance,political_portal,TRUE,TRUE,Publisher identifies Croatian editorial operation and political analytical remit; political_portal is a proposed segment.,https://www.advance.hr/o-nama;https://www.advance.hr/kontakt
bug.hr,Bug,national,TRUE,TRUE,Technology editorial publication with identified Zagreb publisher and newsroom; national includes specialist editorial publications.,https://www.bug.hr/impresum
agroklub.com,Agroklub,national,TRUE,TRUE,Agriculture editorial publication with identified Croatian publisher and editor; national includes specialist editorial publications.,https://www.agroklub.com/agroklub/kontakt-impressum
journal.hr,Journal,national,TRUE,TRUE,Lifestyle editorial publication with identified Zagreb newsroom and publisher; national includes specialist editorial publications.,https://www.journal.hr/kontakt/
grazia.hr,Grazia,national,TRUE,TRUE,Croatian lifestyle publication with identified editorial team and Zagreb publisher; national includes specialist editorial publications.,https://grazia.hr/o-nama/
poslovni.hr,Poslovni dnevnik,national,TRUE,TRUE,Business editorial publication with identified Croatian newsroom and publisher; remains distinct outlet from Vecernji despite shared publisher.,https://www.poslovni.hr/impressum
mojarijeka.hr,Moja Rijeka,institutional,FALSE,TRUE,Published by City of Rijeka; city-site exclusion follows BRIEF 4.2 even though a newsroom is named.,https://www.mojarijeka.hr/impressum/
novine.hr,Novine.hr,aggregator,FALSE,TRUE,Explicit BRIEF exclusion; publisher describes aggregation of other Croatian portals and blogs.,https://novine.hr/impressum
dubrovnik.hr,Grad Dubrovnik,institutional,FALSE,TRUE,Official city website; BRIEF city-site exclusion.,https://www.dubrovnik.hr/
